original	corrected	confidence
Ocodevs	All Core Devs	high
glumps	Glams	medium
Prism	Prysm	high
ball at net	blob devnet	high
eTrex	Besu	medium
Eragon	Erigon	high
Itrex	Besu	medium
Aragon	Erigon	high
Ergon	Erigon	high
Perfect Devon	Pectra DevNet	high
Baldwinnet	Blob DevNet	medium
EPSM	ePBS	high
AT37	8037	high
ACDT	All Core Devs Testing	high
TSPU	TxPool	medium
TSPO	TxPool	medium
Basu	Besu	high
Vessel	Besu	high
fossil	FOCIL	high
HSTAR	Hegota	high
never mind	Nethermind	high
bass suit	Besu	medium
Wrath	Reth	high
NetherMind	Nethermind	high
Lucid	Lucid	medium
